"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"MIN";98;0,455855382985737;0,329551969905192;0,727737525173859;12;28;22;9;14;4;20;"DEN";102;0,480824473726752;0,322865284472034;0,738366170441275;12;33;20;6;14;4;23;-9
"UTA";96;0,496197977717408;0,335066198396094;0,746660042457981;11;30;20;6;13;5;18;"IND";94;0,458845487657291;0,346231343101697;0,744316442129202;11;33;20;5;13;4;21;-4
"MIL";98;0,494927755102918;0,357198890266594;0,77542021827849;10;30;22;9;16;4;22;"PHX";107;0,506576617034789;0,368663545109877;0,799040793026675;10;31;20;8;14;4;22;-6
"ATL";102;0,507053017098148;0,375749666797411;0,773483653578028;8;32;25;9;13;4;18;"MEM";101;0,491580610361783;0,358446890255536;0,784241115342093;10;31;22;8;12;4;19;10
"BKN";95;0,489113949892536;0,32218807817146;0,746848811205732;9;32;20;7;14;4;20;"BOS";102;0,502425291473724;0,325544465158475;0,761047858801981;10;32;25;8;14;4;21;-8
"CHA";95;0,461850246100199;0,310288972138144;0,7374652924333;10;32;20;5;11;4;18;"NOP";101;0,495514908620712;0,335166640518399;0,758881345893179;11;31;21;7;12;5;19;4
"BKN";95;0,490147334325345;0,318446742666697;0,745650335997342;9;32;20;7;14;4;20;"PHI";90;0,457773285908694;0,288592826163344;0,685815912887587;11;30;19;10;18;5;21;-2
"DET";97;0,461557379331231;0,339905583034017;0,6758775801195;12;33;20;7;12;4;20;"ATL";102;0,507092504852954;0,377389470739029;0,770516515052712;8;32;25;8;13;4;18;-3
"MIL";98;0,496285896703847;0,367403348217366;0,772407670904981;10;31;23;9;16;4;22;"MIN";98;0,456934323506852;0,330277342442314;0,733742085875999;12;28;22;9;14;4;20;14
"NOP";101;0,494045687570683;0,339745344948444;0,761305582011531;11;31;21;7;12;5;19;"MEM";101;0,490746106227802;0,35829395376151;0,78392128638057;10;31;22;8;12;4;19;11
"WAS";99;0,491113838706057;0,389440245562322;0,71930132093185;10;32;24;7;13;4;21;"CHI";101;0,476478430055332;0,361621477017565;0,765584966986733;12;33;21;6;13;6;18;16
"HOU";101;0,493435801296015;0,349223577889389;0,704571427068087;12;31;20;9;16;4;23;"UTA";95;0,496922585588615;0,333349155901459;0,749202146647616;11;30;20;6;14;5;18;15
"LAC";106;0,520517099338289;0,38188908200206;0,753459931731155;8;32;24;7;11;4;20;"DAL";108;0,528661124073803;0,360799825784582;0,767995318243245;10;31;23;7;11;4;20;20
"PHI";90;0,455474027966786;0,2933078402514;0,686765470862932;11;30;19;9;18;5;21;"IND";95;0,456582348729699;0,341246773140478;0,752526982339587;11;34;20;5;13;4;21;1
"POR";103;0,486307416128054;0,37357304501069;0,794359173993064;11;35;22;6;13;5;19;"ORL";93;0,476236379080716;0,368842372987051;0,729353914445162;8;32;19;7;14;3;21;11
"SAC";102;0,489134258176254;0,345824371726707;0,772456371984758;11;33;19;6;15;4;21;"CLE";99;0,492294290275634;0,343486731256159;0,753953005014951;10;30;22;7;13;4;17;19
"LAL";100;0,460371300802367;0,344497605923759;0,740641243898291;11;31;20;7;12;4;21;"MIA";93;0,506072788496354;0,344192781438054;0,728083440835967;8;28;19;8;13;3;20;-3
"PHI";90;0,454822636643889;0,295110331055416;0,685501539217988;11;30;19;9;18;5;21;"ATL";103;0,504535685178298;0,384839187086787;0,766695470400815;8;32;25;8;13;4;18;-18
"PHX";106;0,511407988849703;0,358064903882325;0,795039773370841;10;31;20;8;14;4;22;"CLE";99;0,492219095707737;0,344203188696477;0,753851645912003;10;30;21;7;13;4;18;7
"UTA";96;0,497856194505146;0,333348750194584;0,751359356562634;11;30;20;6;14;5;18;"GSW";109;0,532290952012252;0,383850663445863;0,779839759109297;9;34;26;9;14;6;20;-11
"DEN";102;0,486577515195753;0,321491937506627;0,739226793769653;12;33;21;6;14;4;23;"DAL";108;0,527097533200105;0,355090915576434;0,766986856678908;10;31;23;8;11;4;20;7
"DET";97;0,46329652853728;0,340177026141734;0,683369805734016;12;32;21;7;12;4;19;"NOP";101;0,492835135474338;0,342415389449904;0,765735599310571;11;31;21;7;12;6;19;-11
"GSW";109;0,530859793088835;0,385640252296505;0,780107368139886;9;34;26;9;14;6;20;"MIA";93;0,504707593629249;0,343914334050754;0,731256989836374;8;28;19;8;13;3;20;15
"POR";103;0,4866121831255;0,371085300894217;0,793290981058277;11;35;22;6;13;5;19;"LAC";106;0,51834591290521;0,380099383774015;0,757630977367374;8;32;24;7;11;4;20;-6
"MIL";98;0,492516575413628;0,366962473735791;0,770989668312113;10;30;23;9;16;4;22;"NYK";92;0,471217616523637;0,36722337847219;0,769631030482518;10;28;21;7;14;3;22;16
"OKC";99;0,48337942041517;0,323709270205322;0,7201247744527;12;34;20;7;14;5;22;"GSW";109;0,529628288347165;0,385352677910113;0,780258906452708;9;34;26;9;14;6;19;12
"SAC";101;0,488867025977937;0,340732238703685;0,775183237631736;10;33;19;6;15;3;21;"MIA";93;0,503932009051676;0,347081181581838;0,73321366032856;8;28;20;8;13;4;19;-12
"TOR";107;0,506190660457048;0,358696139720804;0,780213103548568;11;30;21;7;12;4;21;"ATL";103;0,510385976018197;0,387261395648489;0,771531993177071;8;32;25;8;13;4;18;-21
"HOU";102;0,49612411558004;0,351615085331528;0,711240103459042;12;31;20;9;16;4;22;"GSW";110;0,531327620194627;0,385977368204345;0,777269636984654;10;34;27;9;14;6;19;-25
"SAC";101;0,489321406666517;0,339158377180537;0,775995964383251;11;33;19;6;15;3;21;"LAC";106;0,519381065068764;0,377808100605416;0,753346679319381;8;32;24;7;11;4;20;-9
