"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"SAC";100;0,482161605924453;0,333877912972287;0,779678145136343;11;33;19;6;15;3;22;"OKC";95;0,487252506015168;0,304135264911574;0,705061324780304;11;33;19;6;14;5;23;0
"DEN";102;0,476739581925627;0,340470070478397;0,73697539375328;13;32;21;7;14;4;24;"HOU";100;0,4840799330168;0,348509973943934;0,71067775683232;12;32;19;9;16;5;23;0
"SAS";101;0,494393522400365;0,370093824891535;0,770086643025766;10;34;24;7;13;5;19;"MEM";103;0,492643766796762;0,37987603842093;0,781027875319151;10;32;22;8;12;4;19;0
"LAL";102;0,464065994260094;0,335660659704613;0,746503130035306;11;30;20;7;11;4;21;"OKC";96;0,485898880563762;0,312012370508953;0,705622980586275;11;33;19;6;14;5;23;0
"NOP";102;0,498106655870658;0,334470336619852;0,752767030646388;12;30;21;7;11;6;19;"POR";103;0,493956850326378;0,3646119561208;0,781996382762595;11;35;23;6;13;5;19;0
"CLE";102;0,505977344586387;0,356114153720338;0,760704287773804;10;30;23;6;12;4;18;"MEM";102;0,492261114007715;0,359749893124793;0,785210995665881;10;32;22;8;12;4;19;1
"MIA";94;0,504041978802747;0,361012967101089;0,726643653299393;7;27;19;8;13;3;20;"BOS";104;0,512071626972409;0,330471951834056;0,759617813067818;10;33;25;8;14;4;21;1
"WAS";100;0,491686326166423;0,377751653055297;0,721546197687516;10;32;25;8;13;5;22;"PHX";104;0,4999846372944;0,359927567061492;0,802871371888296;10;31;20;8;14;4;22;0
"CHI";103;0,491631229397865;0,368083069333917;0,768060762545054;10;34;22;5;14;6;19;"TOR";108;0,504210678158327;0,36703589818298;0,79163403939155;11;30;20;7;11;4;22;1
"CHA";96;0,466811051739953;0,323057742183622;0,720642309971152;9;32;20;5;10;4;18;"DEN";101;0,475902454896035;0,325970472067808;0,737305724372446;12;32;21;7;14;4;24;1
"GSW";108;0,533539282289607;0,372743461429307;0,779996736196679;10;35;25;8;15;6;20;"SAC";101;0,488958472013676;0,341087689794988;0,77180858918198;11;33;19;6;15;3;22;1
