"HOME";"All points";"All points for last 5 games";"Two points";"Two points for last 5 games";"Thre points";"Thre points for last 5 games";"Free throws";"Free points for last 5 games";"Attack jumps";"Attack jumps for last 5 games";"Defending jumps";"Defending jumps for last 5 games";"Assissts";"Assissts for last 5 games";"Stolen balls";"Stolen balls for last 5 games";"Lost balls";"Lost balls for last 5 games";"Blockages fouls";"Blockages fouls for last 5 games";"Personal fouls";"Personal fouls for last 5 games";"AWAY";"All points";"All points for last 5 games";"Two points";"Two points for last 5 games";"Thre points";"Thre points for last 5 games";"Free throws";"Free points for last 5 games";"Attack jumps";"Attack jumps for last 5 games";"Defending jumps";"Defending jumps for last 5 games";"Assissts";"Assissts for last 5 games";"Stolen balls";"Stolen balls for last 5 games";"Lost balls";"Lost balls for last 5 games";"Blockages fouls";"Blockages fouls for last 5 games";"Personal fouls";"Personal fouls for last 5 games";"WINNER"
"MIN";99;95;0,459572151738228;0,46457694181534;0,337600288984372;0,267040149393091;0,744492563565224;0,729901960784314;11;9;28;29;21;24;8;9;14;15;3;3;21;22;"PHI";91;97;0,460005078276289;0,466013643846756;0,286988289813691;0,256568144499179;0,669510855000707;0,740662871600253;11;12;29;30;20;22;9;10;17;16;4;5;22;23;-8
"POR";103;100;0,493303402952303;0,487117175090296;0,364153856131084;0,302308802308802;0,787653784752718;0,75167206592782;11;9;35;37;23;23;6;6;13;11;5;6;19;17;"IND";93;95;0,459629095330963;0,457072259960217;0,32876215814732;0,325968475968476;0,733548689872219;0,714327012856425;12;11;34;34;19;22;4;6;14;13;4;2;20;21;6
"BKN";97;90;0,485487575250458;0,455863630651445;0,325132879107685;0,293896505970809;0,786453938815766;0,699649122807018;9;10;33;35;19;19;6;6;14;15;4;3;20;19;"ATL";103;104;0,521241412036671;0,537804277620486;0,377133718270405;0,427308610400682;0,782883111607536;0,805568887634105;8;6;30;32;25;28;8;8;13;14;5;5;19;18;-23
"CHA";94;94;0,46370710137988;0,458341136649402;0,306938832637278;0,244413933384185;0,735270131064536;0,797826086956522;9;9;32;32;21;22;5;3;10;8;4;5;18;18;"NYK";93;87;0,476609757980704;0,462779838366458;0,386071532980221;0,277071612597928;0,773691300018146;0,791731601731602;11;12;28;28;21;20;6;6;14;13;3;3;23;22;1
"MEM";100;101;0,491512242257349;0,534394277233462;0,356283564895264;0,298018648018648;0,776356050103526;0,715397639397639;10;9;31;31;21;24;8;8;12;13;3;5;19;19;"SAS";100;106;0,489210039375925;0,457580843833213;0,366225649751218;0,440846153846154;0,796178961070484;0,8125;9;11;35;35;24;25;7;6;13;11;5;6;19;18;-6
"SAC";101;97;0,491954066806497;0,505401484978917;0,323004311785475;0,300681818181818;0,791409413712647;0,751058311058311;11;10;34;33;19;19;6;4;15;17;3;4;23;22;"IND";93;95;0,458076211992987;0,451877454765412;0,323862511778416;0,276884226884227;0,736526427792401;0,761836591400486;12;12;34;35;18;21;5;6;13;12;4;3;21;23;1
"TOR";108;111;0,491927089489862;0,491121025804007;0,371007258833571;0,405698564010584;0,799300629536429;0,784339477726575;10;12;30;31;20;20;7;6;11;11;4;3;22;22;"CLE";103;105;0,502759645894182;0,558965168642588;0,352837919380186;0,350198412698413;0,766372319949808;0,725134952766532;10;8;30;30;22;22;7;7;13;13;4;3;18;18;-14
"UTA";96;95;0,505730069074402;0,495725617759516;0,334335064859361;0,339087301587302;0,735343454290155;0,679177489177489;11;12;29;27;20;18;6;5;14;13;4;4;18;16;"ORL";94;91;0,478216368022578;0,478352813446187;0,374356890138976;0,367385620915033;0,729953229032176;0,778714285714286;9;7;32;31;19;17;6;8;15;15;3;3;21;20;-5
"CHI";102;108;0,494276018683099;0,498672167426034;0,356401105413588;0,331076276664512;0,755069978454889;0,802560543737014;10;12;33;38;22;25;6;5;14;16;5;5;20;21;"GSW";107;106;0,530324016359452;0,491320093296827;0,384630447092668;0,36972878972879;0,763333044185598;0,752728758169935;9;14;35;33;26;27;8;9;16;12;6;7;20;17;-10
"SAC";101;99;0,491575113466172;0,507731030433462;0,320187429529535;0,291515151515152;0,791124657312729;0,751058311058311;11;10;33;30;19;20;6;5;15;15;3;3;23;21;"ORL";94;95;0,482595976735555;0,501834594822706;0,373130670835274;0,358838612368024;0,735483212863076;0,775142857142857;9;8;32;31;19;19;6;8;14;13;3;3;21;21;-9
"SAS";101;108;0,495999537407129;0,479132567971144;0,367358811708102;0,418623931623932;0,800370013016959;0,8285;9;11;35;36;24;25;7;6;13;13;5;5;19;19;"MIN";100;96;0,459385316901845;0,449359642219481;0,337589732249175;0,248071895424837;0,744280383384869;0,736696623093682;11;10;28;30;21;22;9;10;14;12;3;3;22;23;22
"NYK";93;92;0,482218405345217;0,486351266937886;0,380484549423704;0,308650559966349;0,777484552614724;0,813160173160173;10;11;28;30;21;21;6;7;13;13;3;3;23;22;"POR";103;100;0,491445250348547;0,495268322188811;0,363803306181672;0,284848484848485;0,784477992066806;0,746499652134717;11;11;35;34;23;23;6;7;13;11;5;5;19;17;-4
"SAC";101;98;0,49125479781771;0,506239188941621;0,32279755193289;0,246515151515151;0,790489091620589;0,737383097383097;11;10;33;30;19;20;6;6;15;15;3;2;23;22;"UTA";96;97;0,503921110331995;0,485570301152587;0,326817708829644;0,33688141923436;0,73250213149899;0,692884052884053;11;12;29;26;20;20;6;5;14;11;5;5;18;18;9
"TOR";108;113;0,500248021736376;0,541695738447685;0,366327259495176;0,375395533707554;0,795721453417289;0,779167063933471;10;11;30;30;20;21;7;5;11;11;4;5;22;21;"DEN";103;97;0,487084949659277;0,488801022616738;0,332409159127146;0,285637695637696;0,743189410161014;0,735724378820354;12;12;32;31;20;21;7;7;14;14;4;4;24;22;5
"DET";92;95;0,435114513442498;0,422314328684714;0,329621519581638;0,274900140117531;0,68277250577392;0,745269744160178;12;13;32;33;19;22;6;7;13;12;4;4;19;18;"POR";103;100;0,492230548328926;0,507000551312345;0,366887502485947;0,313419913419913;0,788788563873149;0,777055207690273;11;10;35;36;23;23;6;7;13;12;5;5;19;16;-12
"LAL";102;96;0,470228551215823;0,430117216456635;0,32492927821117;0,368037258460553;0,740387588738633;0,728606516290727;12;9;29;31;20;20;7;6;11;10;4;5;22;20;"SAC";101;100;0,489586191305335;0,488673703579525;0,329337057148062;0,321666666666667;0,784041798758228;0,733779493779494;11;10;33;31;19;20;5;5;15;14;3;2;23;22;3
"OKC";93;104;0,475087463825427;0,519967389388331;0,312472791968398;0,315165631469979;0,686591552503502;0,796308824293314;11;12;33;36;19;21;6;7;14;16;5;5;24;27;"MIL";98;105;0,491869573553533;0,524146125499694;0,340714724828357;0,401201298701299;0,789052346115954;0,806381706528765;11;10;29;27;22;22;9;9;15;17;4;2;22;23;13
"CHI";102;108;0,494966300166026;0,512755320514234;0,356745641519434;0,34498001998002;0,753340455671323;0,784148381574852;10;11;34;40;22;25;6;5;14;17;5;5;20;21;"BKN";95;87;0,480312836905883;0,431132757018718;0,313860192700676;0,283620816747752;0,778970825635944;0,684298245614035;10;12;32;33;19;19;6;5;14;12;4;3;20;18;25
"DEN";103;97;0,486938859572125;0,48065718337824;0,333109928573936;0,285972143798231;0,739711103638543;0,727881241565452;12;13;32;31;20;20;7;7;13;14;4;3;24;21;"MIA";94;91;0,505013484249598;0,507853174603175;0,37303874014203;0,384796494355318;0,719771180022102;0,65952380952381;8;8;27;22;20;22;8;10;13;13;3;4;20;18;20
"IND";93;94;0,457823052215675;0,455540152118402;0,324723495556135;0,296581196581197;0,728757617876417;0,696989673612392;11;9;33;34;19;21;5;7;13;14;4;3;20;23;"LAC";106;117;0,539441923049365;0,570813838682132;0,380191250158025;0,388302498418722;0,766935548646718;0,783761904761905;7;8;32;37;24;30;7;7;11;12;5;6;21;20;-7
