"HOME";"All points";"All points for last 5 games";"Two points";"Two points for last 5 games";"Thre points";"Thre points for last 5 games";"Free throws";"Free points for last 5 games";"Attack jumps";"Attack jumps for last 5 games";"Defending jumps";"Defending jumps for last 5 games";"Assissts";"Assissts for last 5 games";"Stolen balls";"Stolen balls for last 5 games";"Lost balls";"Lost balls for last 5 games";"Blockages fouls";"Blockages fouls for last 5 games";"Personal fouls";"Personal fouls for last 5 games";"AWAY";"All points";"All points for last 5 games";"Two points";"Two points for last 5 games";"Thre points";"Thre points for last 5 games";"Free throws";"Free points for last 5 games";"Attack jumps";"Attack jumps for last 5 games";"Defending jumps";"Defending jumps for last 5 games";"Assissts";"Assissts for last 5 games";"Stolen balls";"Stolen balls for last 5 games";"Lost balls";"Lost balls for last 5 games";"Blockages fouls";"Blockages fouls for last 5 games";"Personal fouls";"Personal fouls for last 5 games";"WINNER"
"CHA";94;94;0,46370710137988;0,458341136649402;0,306938832637278;0,244413933384185;0,735270131064536;0,797826086956522;9;9;32;32;21;22;5;3;10;8;4;5;18;18;"NYK";93;87;0,476609757980704;0,462779838366458;0,386071532980221;0,277071612597928;0,773691300018146;0,791731601731602;11;12;28;28;21;20;6;6;14;13;3;3;23;22;1
"DAL";109;112;0,541239052151154;0,502993342529083;0,338895901740822;0,339313240365872;0,765226661728176;0,736430976430976;11;12;30;29;23;23;7;8;11;12;5;5;20;21;"PHX";105;108;0,501132843163886;0,493915749387251;0,364631748985379;0,423411371237458;0,820643495459454;0,802124244923434;9;9;32;30;20;21;7;7;14;15;4;4;23;22;0
"PHI";91;94;0,458350675660243;0,441201613771569;0,286921236966354;0,313711001642036;0,667606774912951;0,700662871600253;11;15;29;31;20;22;10;11;17;17;4;4;22;24;"OKC";92;99;0,466856808593937;0,476353582808103;0,320302008165573;0,347529346186635;0,678368991466719;0,731167212092878;10;11;33;37;19;19;6;7;14;14;5;6;23;27;0
"SAC";101;99;0,491575113466172;0,507731030433462;0,320187429529535;0,291515151515152;0,791124657312729;0,751058311058311;11;10;33;30;19;20;6;5;15;15;3;3;23;21;"ORL";94;95;0,482595976735555;0,501834594822706;0,373130670835274;0,358838612368024;0,735483212863076;0,775142857142857;9;8;32;31;19;19;6;8;14;13;3;3;21;21;0
"DET";93;97;0,437421553765156;0,409686877704322;0,334495271596348;0,325097768576029;0,676595006048869;0,716103077493511;12;13;32;33;19;22;6;8;13;13;4;4;20;20;"OKC";92;101;0,46851396816424;0,496901528013582;0,318572622043008;0,369378085682434;0,679744659540442;0,731602941940373;11;12;33;35;19;20;6;7;14;15;5;5;23;27;0
"SAC";101;98;0,49125479781771;0,506239188941621;0,32279755193289;0,246515151515151;0,790489091620589;0,737383097383097;11;10;33;30;19;20;6;6;15;15;3;2;23;22;"UTA";96;97;0,503921110331995;0,485570301152587;0,326817708829644;0,33688141923436;0,73250213149899;0,692884052884053;11;12;29;26;20;20;6;5;14;11;5;5;18;18;1
"CHA";94;94;0,463394518320974;0,458630467571644;0,302526779382441;0,220604409574661;0,73802409855079;0,823113443278361;9;9;32;32;20;20;5;3;10;9;4;5;18;17;"BOS";104;108;0,504964568340678;0,461760144198524;0,336325013643204;0,386080756413237;0,763173059985566;0,743933242683243;10;9;33;39;25;26;8;8;14;14;3;4;21;23;1
"DEN";103;97;0,486938859572125;0,48065718337824;0,333109928573936;0,285972143798231;0,739711103638543;0,727881241565452;12;13;32;31;20;20;7;7;13;14;4;3;24;21;"MIA";94;91;0,505013484249598;0,507853174603175;0,37303874014203;0,384796494355318;0,719771180022102;0,65952380952381;8;8;27;22;20;22;8;10;13;13;3;4;20;18;1
"ATL";102;96;0,510746810786981;0,464433905407297;0,374137585851301;0,364994580207562;0,771158647770498;0,699718848403059;8;8;31;37;25;25;9;11;13;12;4;3;18;17;"ORL";94;91;0,478429901324758;0,481396238439525;0,375793037681273;0,384147812971342;0,733311222500696;0,728761904761905;9;8;32;31;19;17;6;6;14;12;3;4;21;21;1
"BKN";95;85;0,481640640925197;0,441105434614346;0,310819231143501;0,263032581453634;0,772689301726109;0,673710010319917;10;11;32;34;20;20;7;7;14;13;4;3;20;17;"PHI";90;86;0,454691764470173;0,437728930149982;0,290395839604765;0,286250517598344;0,669338082466143;0,662848484848485;11;12;29;32;20;21;10;11;17;18;5;6;22;21;1
"MIN";98;96;0,45728020543378;0,449487587998656;0,310100616851954;0,216601731601732;0,738351392186144;0,717471409497272;12;13;28;28;21;21;9;11;14;14;4;4;21;18;"OKC";94;105;0,482365585288933;0,553159153005464;0,307876495676832;0,277345118649466;0,699022326594107;0,792539244436778;11;12;33;34;19;23;6;8;14;15;5;7;23;24;0
"SAS";101;109;0,498927840191903;0,524205508474576;0,367851686862142;0,412460290511224;0,787656344022309;0,760239130434783;9;10;34;31;24;24;7;8;13;14;5;6;19;19;"LAL";102;97;0,469107503095329;0,428381105345523;0,332541048723728;0,350390199637024;0,742979432706519;0,738606516290727;12;10;29;31;20;20;7;6;11;10;4;5;22;19;0
"UTA";96;96;0,506887395970627;0,5129048713443;0,323243498123961;0,30672268907563;0,737976254451647;0,737126477126477;11;11;29;28;20;19;6;5;14;12;5;6;18;20;"MIA";95;91;0,507303867877541;0,494391636141636;0,372037055788029;0,379796494355318;0,717929796318477;0,645007680491551;8;9;27;23;20;20;8;9;13;11;3;3;19;16;0
"DAL";109;109;0,542298755047925;0,542637582291731;0,343299285572889;0,33523890371089;0,769092032295719;0,778174848886923;11;11;30;29;23;18;7;7;11;12;5;4;20;18;"GSW";106;107;0,531523822614749;0,513260606448061;0,372526241317725;0,348428853754941;0,775439865721616;0,765387488328665;9;12;35;34;25;24;8;11;15;13;6;6;20;17;0
"MIL";99;105;0,494451931065725;0,529359800713369;0,35303342947566;0,458474025974026;0,787425165027789;0,787150937297996;11;9;30;28;22;21;9;8;15;17;4;3;22;22;"LAC";106;109;0,530618846226763;0,505301401788954;0,381164124956878;0,379199573600297;0,768747752359286;0,788205594631741;7;9;31;31;24;24;7;7;12;12;4;4;21;20;1
"ORL";94;94;0,479622365207043;0,495147437672016;0,379654477623935;0,409385908209438;0,734410974016237;0,777142857142857;9;8;32;31;19;18;6;5;14;11;3;5;20;19;"ATL";102;97;0,509135393384343;0,465553726235965;0,370753181957605;0,347783251231527;0,77567348917178;0,749718848403059;8;9;31;35;25;25;8;10;13;12;4;3;18;16;1
"IND";93;95;0,456564021424522;0,450515259150665;0,327439385536814;0,34174688057041;0,742663386500974;0,767211221335262;11;9;34;35;19;22;5;6;13;13;4;2;20;20;"LAL";102;97;0,461961967363831;0,421085901610379;0,333087086092798;0,32837818528221;0,747029921903384;0,74677755240027;12;11;30;30;20;21;7;8;11;9;4;5;21;18;1
